Date,NbMessage
2017-09-26,35
2017-09-27,23
2017-09-28,23
2017-09-29,2
2017-09-30,6
2017-10-01,13
2017-10-02,5
2017-10-04,16
2017-10-05,30
2017-10-06,38
2017-10-07,15
2017-10-09,13
2017-10-10,44
2017-10-11,1
2017-10-12,4
2017-10-13,44
2017-10-14,23
2017-10-15,32
2017-10-16,13
2017-10-18,12
2017-10-19,20
2017-10-20,14
2017-10-21,4
2017-10-22,10
2017-10-23,16
2017-10-24,19
2017-10-25,7
2017-10-26,16
2017-10-27,9
2017-10-28,17
2017-10-29,3
2017-10-30,20
2017-10-31,7
2017-11-01,66
2017-11-02,39
2017-11-03,22
2017-11-04,56
2017-11-05,16
2017-11-07,5
2017-11-08,16
2017-11-09,20
2017-11-11,2
2017-11-12,13
2017-11-13,16
2017-11-14,35
2017-11-15,11
2017-11-16,12
2017-11-17,47
2017-11-18,20
2017-11-19,7
2017-11-20,29
2017-11-21,7
2017-11-22,1
2017-11-23,1
2017-11-25,4
2017-11-26,5
2017-11-27,4
2017-11-28,2
2017-11-30,1
2017-12-02,2
2017-12-03,26
2017-12-04,38
2017-12-05,8
2017-12-07,5
2017-12-08,3
2017-12-09,42
2017-12-10,56
2017-12-11,5
2017-12-13,1
2017-12-14,3
2017-12-16,83
2017-12-17,7
2017-12-18,2
2017-12-19,7
2017-12-20,1
2017-12-21,60
2017-12-22,49
2017-12-23,35
2017-12-24,56
2017-12-25,22
2017-12-26,3
2017-12-27,19
2017-12-28,9
2017-12-29,3
2017-12-30,3
2017-12-31,1
2018-01-01,10
2018-01-02,32
2018-01-03,124
2018-01-04,89
2018-01-05,49
2018-01-06,12
2018-01-07,5
2018-01-08,8
2018-01-09,17
2018-01-10,5
2018-01-11,1
2018-01-13,25
2018-01-14,20
2018-01-17,3
2018-01-20,9
2018-01-22,15
2018-01-23,1
2018-01-25,22
2018-01-27,3
2018-01-28,4
2018-01-29,4
2018-02-02,1
2018-02-03,1
2018-02-04,13
2018-02-05,8
2018-02-06,9
2018-02-07,15
2018-02-08,12
2018-02-09,57
2018-02-10,32
2018-02-11,9
2018-02-12,2
2018-02-13,13
2018-02-14,1
2018-02-15,3
2018-02-16,10
2018-02-17,8
2018-02-18,71
2018-02-19,29
2018-02-20,27
2018-02-21,25
2018-02-22,6
